"","X","schlcode","c_size","c_boys","c_girls","c_numcl","c_pik","c_status","c_leom","c_tip","c_num5rd","c_type","flgrm5","mrkgrm5","ngrm5","flmth5","mrkmth5","nmth5","towncode","popcode","tip_a","grade","classid","classize","X_type_","X_freq_","cohsize","mathsize","avgmath","passmath","verbsize","avgverb","passverb","studchk","misskov2","missagg","nmiss_k","nmiss_a","classct","math_n","flmath_n","nmath_n","verb_n","flverb_n","nverb_n","impute","nverb_m","nmath_m","tip_s","townid","tipuach"
"321",321,21178,48,28,20,12,1,2,1,5,2,2,29.7900009155273,65,47,32.6500015258789,61,49,76000,11,21,5,2,21,0,2,48,25,64.1584014892578,27.9939994812012,24,57.1704177856445,45.8804168701172,NA,1,0,1,0,2,57.7099990844727,37.5,24,73.1699981689453,13,23,1,24,25,21,76000,21
"322",322,21179,113,60,53,22,1,2,1,4,4,3,31.0300006866455,67,87,14.7700004577637,63,88,76000,11,23,5,1,34,0,3,98,30,65.870002746582,16.7000007629395,30,72.0299987792969,26.7000007629395,1,0,0,0,0,3,63.1136360168457,14.7772731781006,88,67.4366683959961,31.0321846008301,87,0,NA,NA,23,76000,23
"323",323,21179,113,60,53,22,1,2,1,4,4,3,31.0300006866455,67,87,14.7700004577637,63,88,76000,11,23,5,2,32,0,3,98,28,58.75,14.3000001907349,28,58.1100006103516,50,1,0,0,0,0,3,63.1136360168457,14.7772731781006,88,67.4366683959961,31.0321846008301,87,0,NA,NA,23,76000,23
"324",324,21179,113,60,53,22,1,2,1,4,4,3,31.0300006866455,67,87,14.7700004577637,63,88,76000,11,23,5,3,32,0,3,98,30,64.4300003051758,13.3000001907349,29,71.6900024414062,17.2000007629395,1,0,0,0,0,3,63.1136360168457,14.7772731781006,88,67.4366683959961,31.0321846008301,87,0,NA,NA,23,76000,23
"325",325,21181,83,47,36,17,1,2,1,2,3,2,8.0600004196167,81,62,19.0499992370605,67,63,76000,11,15,5,1,37,0,2,71,35,69.3099975585938,8.60000038146973,34,84.3199996948242,5.90000009536743,1,0,0,0,0,2,67.2211074829102,19.0444450378418,63,80.8064498901367,8.06774234771729,62,0,NA,NA,15,76000,15
"326",326,21181,83,47,36,17,1,2,1,2,3,2,8.0600004196167,81,62,19.0499992370605,67,63,76000,11,15,5,2,34,0,2,71,28,64.6100006103516,32.0999984741211,28,76.5400009155273,10.6999998092651,1,0,0,0,0,2,67.2211074829102,19.0444450378418,63,80.8064498901367,8.06774234771729,62,0,NA,NA,15,76000,15
"327",327,21182,54,25,29,12,1,2,1,2,2,2,41.1800003051758,64,51,43.3300018310547,54,60,76000,11,5,5,2,25,0,2,54,26,55.6199989318848,50,24,61.6300010681152,45.7999992370605,1,0,0,1,0,2,55.6199989318848,50,26,61.6300010681152,45.7999992370605,24,0,NA,NA,5,76000,5
"328",328,21182,54,25,29,12,1,2,1,2,2,2,41.1800003051758,64,51,43.3300018310547,54,60,76000,11,5,5,1,29,0,2,54,34,52.7611770629883,38.2294120788574,27,66.1066665649414,37.0733337402344,NA,1,0,1,0,2,55.6199989318848,50,26,61.6300010681152,45.7999992370605,24,1,27,34,5,76000,5
"329",329,21184,46,21,25,14,2,2,1,4,2,2,26.8299999237061,76,41,12.1999998092651,74,41,76000,12,33,5,1,23,0,2,46,22,71.6800003051758,13.6000003814697,22,75.8600006103516,27.2999992370605,1,0,0,0,0,2,74.2426834106445,12.1634149551392,41,76.3373184204102,26.8365859985352,41,0,NA,NA,33,76000,33
"330",330,21184,46,21,25,14,2,2,1,4,2,2,26.8299999237061,76,41,12.1999998092651,74,41,76000,12,33,5,2,23,0,2,46,19,77.2099990844727,10.5,19,76.8899993896484,26.2999992370605,1,0,0,0,0,2,74.2426834106445,12.1634149551392,41,76.3373184204102,26.8365859985352,41,0,NA,NA,33,76000,33
"331",331,21185,38,19,19,7,2,2,1,6,2,2,25,72,36,47.2200012207031,59,36,76000,12,35,5,2,19,0,2,38,18,57.1100006103516,61.0999984741211,18,73.8899993896484,22.2000007629395,1,0,0,1,0,2,57.1100006103516,61.0999984741211,18,73.8899993896484,22.2000007629395,18,0,NA,NA,35,76000,35
"332",332,21185,38,19,19,7,2,2,1,6,2,2,25,72,36,47.2200012207031,59,36,76000,12,35,5,1,19,0,2,38,18,60.8899993896484,33.3400001525879,18,70.1100006103516,27.7999992370605,NA,1,0,1,0,2,57.1100006103516,61.0999984741211,18,73.8899993896484,22.2000007629395,18,1,18,18,35,76000,35
"333",333,21190,72,34,38,15,1,1,1,5,3,2,41.3800010681152,62,58,27.6900005340576,61,65,77008,11,30,5,1,32,0,2,64,33,56.5800018310547,33.2999992370605,32,57.4099998474121,53.0999984741211,1,0,0,0,0,2,61.0501556396484,27.6876926422119,65,62.0003433227539,41.3551712036133,58,0,NA,NA,30,77008,30
"334",334,21190,72,34,38,15,1,1,1,5,3,2,41.3800010681152,62,58,27.6900005340576,61,65,77008,11,30,5,2,32,0,2,64,32,65.6600036621094,21.8999996185303,26,67.6500015258789,26.8999996185303,1,0,0,0,0,2,61.0501556396484,27.6876926422119,65,62.0003433227539,41.3551712036133,58,0,NA,NA,30,77008,30
"335",335,21191,128,59,69,21,1,1,1,2,4,3,17.4799995422363,74,103,14.1499996185303,71,106,77008,11,11,5,1,40,0,3,119,37,71.8600006103516,13.5,37,75.2399978637695,16.2000007629395,1,0,0,0,0,3,71.2161331176758,14.1452827453613,106,74.4943695068359,17.4699020385742,103,0,NA,NA,11,77008,11
"336",336,21191,128,59,69,21,1,1,1,2,4,3,17.4799995422363,74,103,14.1499996185303,71,106,77008,11,11,5,2,40,0,3,119,38,72.0299987792969,18.3999996185303,36,75.1399993896484,25,1,0,0,0,0,3,71.2161331176758,14.1452827453613,106,74.4943695068359,17.4699020385742,103,0,NA,NA,11,77008,11
"337",337,21191,128,59,69,21,1,1,1,2,4,3,17.4799995422363,74,103,14.1499996185303,71,106,77008,11,11,5,3,39,0,3,119,31,69.4499969482422,9.69999980926514,30,72.8000030517578,10,1,0,0,0,0,3,71.2161331176758,14.1452827453613,106,74.4943695068359,17.4699020385742,103,0,NA,NA,11,77008,11
"338",338,21192,81,40,41,14,1,1,1,4,3,2,44.439998626709,60,72,49.3199996948242,55,73,77008,11,20,5,1,36,0,2,72,37,58,27,36,64.4700012207031,33.2999992370605,1,0,0,0,0,2,54.6021919250488,49.2904090881348,73,60.1949996948242,44.4500007629395,72,0,NA,NA,20,77008,20
"339",339,21192,81,40,41,14,1,1,1,4,3,2,44.439998626709,60,72,49.3199996948242,55,73,77008,11,20,5,2,36,0,2,72,36,51.1100006103516,72.1999969482422,36,55.9199981689453,55.5999984741211,1,0,0,0,0,2,54.6021919250488,49.2904090881348,73,60.1949996948242,44.4500007629395,72,0,NA,NA,20,77008,20
"340",340,21194,86,43,43,13,2,1,1,4,3,3,33.3300018310547,73,63,31.75,69,63,77008,12,28,5,1,29,0,3,86,27,57.3300018310547,44.4000015258789,27,58.7000007629395,44.4000015258789,1,0,0,1,0,3,59.3236198425293,46.5379295349121,58,63.1201705932617,48.2482757568359,58,0,NA,NA,28,77008,28
"341",341,21194,86,43,43,13,2,1,1,4,3,3,33.3300018310547,73,63,31.75,69,63,77008,12,28,5,2,29,0,3,86,31,61.060001373291,48.4000015258789,31,66.9700012207031,51.5999984741211,1,0,0,1,0,3,59.3236198425293,46.5379295349121,58,63.1201705932617,48.2482757568359,58,0,NA,NA,28,77008,28
"342",342,21194,86,43,43,13,2,1,1,4,3,3,33.3300018310547,73,63,31.75,69,63,77008,12,28,5,3,28,0,3,86,5,81.246002197266,NA,5,87.606002807617,NA,NA,1,0,1,0,3,59.3236198425293,46.5379295349121,58,63.1201705932617,48.2482757568359,58,1,5,5,28,77008,28
"343",343,21195,48,28,20,12,2,1,1,8,2,2,45.8300018310547,62,48,67.3499984741211,49,49,77008,12,71,5,1,21,0,2,48,25,55.0400009155273,48,24,64.8300018310547,37.5,1,0,0,0,0,2,48.6334686279297,67.3469390869141,49,61.7700004577637,45.8499984741211,48,0,NA,NA,71,77008,71
"344",344,21195,48,28,20,12,2,1,1,8,2,2,45.8300018310547,62,48,67.3499984741211,49,49,77008,12,71,5,2,27,0,2,48,24,41.9599990844727,87.5,24,58.7099990844727,54.2000007629395,1,0,0,0,0,2,48.6334686279297,67.3469390869141,49,61.7700004577637,45.8499984741211,48,0,NA,NA,71,77008,71
"345",345,21196,41,20,21,8,2,1,1,8,2,2,50,59,38,61.5400009155273,42,39,77008,12,76,5,1,20,0,2,41,20,44.7999992370605,60,19,62.6800003051758,52.5999984741211,1,0,0,1,0,2,44.7999992370605,60,20,62.6800003051758,52.5999984741211,19,0,NA,NA,76,77008,76
"346",346,21196,41,20,21,8,2,1,1,8,2,2,50,59,38,61.5400009155273,42,39,77008,12,76,5,2,21,0,2,41,19,39.0526313781738,63.1610527038574,19,55.3199996948242,47.4000015258789,NA,1,0,1,0,2,44.7999992370605,60,20,62.6800003051758,52.5999984741211,19,1,19,19,76,77008,76
"347",347,21200,24,15,9,6,1,1,1,1,1,1,11.1099996566772,83,18,11.1099996566772,82,18,5991,11,5,5,1,24,0,1,24,18,81.5,11.1000003814697,18,82.6699981689453,11.1000003814697,1,0,0,0,0,1,81.5,11.1000003814697,18,82.6699981689453,11.1000003814697,18,0,NA,NA,15,5991,5
"348",348,21201,27,14,13,13,2,2,1,6,2,2,48,59,25,48,54,25,20529,12,49,5,1,14,0,2,27,13,60.0800018310547,46.2000007629395,13,62.5400009155273,46.2000007629395,1,0,0,0,0,2,54.0415992736816,48.023998260498,25,58.7624015808105,48.023998260498,25,0,NA,NA,49,20529,49
"349",349,21201,27,14,13,13,2,2,1,6,2,2,48,59,25,48,54,25,20529,12,49,5,2,13,0,2,27,12,47.5,50,12,54.6699981689453,50,1,0,0,0,0,2,54.0415992736816,48.023998260498,25,58.7624015808105,48.023998260498,25,0,NA,NA,49,20529,49
"350",350,21203,56,28,28,13,1,2,1,2,2,2,21.0499992370605,76,38,20.5100002288818,68,39,80002,11,8,5,1,27,0,2,56,19,69.4700012207031,15.8000001907349,19,77.8899993896484,15.8000001907349,1,0,0,0,0,2,67.6135864257812,20.5179481506348,39,76.3150024414062,21.0499992370605,38,0,NA,NA,8,80002,8
"351",351,21203,56,28,28,13,1,2,1,2,2,2,21.0499992370605,76,38,20.5100002288818,68,39,80002,11,8,5,2,29,0,2,56,20,65.8499984741211,25,19,74.7399978637695,26.2999992370605,1,0,0,0,0,2,67.6135864257812,20.5179481506348,39,76.3150024414062,21.0499992370605,38,0,NA,NA,8,80002,8
"352",352,21204,27,12,15,8,1,2,1,5,1,1,22.2199993133545,75,27,25.9300003051758,65,27,80002,11,41,5,1,27,0,1,27,27,65.1100006103516,25.8999996185303,27,74.8899993896484,22.2000007629395,1,0,0,0,0,1,65.1100006103516,25.8999996185303,27,74.8899993896484,22.2000007629395,27,0,NA,NA,41,80002,41
"353",353,21205,75,38,37,20,1,2,1,4,2,2,25,74,68,42.0299987792969,66,69,80002,11,21,5,1,36,0,2,75,33,68.6699981689453,42.4000015258789,32,72.129997253418,21.8999996185303,1,0,0,0,0,2,66.1917419433594,42.034782409668,69,73.6335296630859,25.0235290527344,68,0,NA,NA,21,80002,21
"354",354,21205,75,38,37,20,1,2,1,4,2,2,25,74,68,42.0299987792969,66,69,80002,11,21,5,2,39,0,2,75,36,63.9199981689453,41.7000007629395,36,74.9700012207031,27.7999992370605,1,0,0,0,0,2,66.1917419433594,42.034782409668,69,73.6335296630859,25.0235290527344,68,0,NA,NA,21,80002,21
"355",355,21206,35,18,17,8,2,2,1,7,1,1,44.8300018310547,72,29,34.4799995422363,63,29,80002,12,32,5,1,35,0,1,35,29,62.7900009155273,34.5,29,72.2099990844727,44.7999992370605,1,0,0,0,0,1,62.7900009155273,34.5,29,72.2099990844727,44.7999992370605,29,0,NA,NA,32,80002,32
"356",356,21208,60,29,31,16,1,2,1,8,2,2,30.3600006103516,69,56,30.9099998474121,63,55,28001,11,40,5,1,27,0,2,60,23,60.2999992370605,43.5,24,64.6699981689453,33.2999992370605,1,0,0,0,0,2,62.7960014343262,30.9327278137207,55,69.0014266967773,30.3285713195801,56,0,NA,NA,40,28001,40
"357",357,21208,60,29,31,16,1,2,1,8,2,2,30.3600006103516,69,56,30.9099998474121,63,55,28001,11,40,5,2,33,0,2,60,32,64.5899963378906,21.8999996185303,32,72.25,28.1000003814697,1,0,0,0,0,2,62.7960014343262,30.9327278137207,55,69.0014266967773,30.3285713195801,56,0,NA,NA,40,28001,40
"358",358,21209,75,38,37,17,1,2,1,4,2,2,29.3299999237061,72,75,30.6700000762939,68,75,28001,11,41,5,1,38,0,2,75,39,62.3800010681152,33.2999992370605,39,67.7399978637695,33.2999992370605,1,0,0,0,0,2,68.3560028076172,30.6599998474121,75,72.0647964477539,29.3159999847412,75,0,NA,NA,41,28001,41
"359",359,21209,75,38,37,17,1,2,1,4,2,2,29.3299999237061,72,75,30.6700000762939,68,75,28001,11,41,5,2,37,0,2,75,36,74.8300018310547,27.7999992370605,36,76.75,25,1,0,0,0,0,2,68.3560028076172,30.6599998474121,75,72.0647964477539,29.3159999847412,75,0,NA,NA,41,28001,41
"360",360,21210,66,33,33,16,1,2,1,6,2,2,19.2299995422363,72,52,27.2700004577637,70,55,28001,11,46,5,1,33,0,2,66,29,69.379997253418,27.6000003814697,29,71.620002746582,24.1000003814697,1,0,0,0,0,2,68.5998306274414,30.0283336639404,60,68.7249984741211,27.5499992370605,58,0,NA,NA,46,28001,46
"361",361,21210,66,33,33,16,1,2,1,6,2,2,19.2299995422363,72,52,27.2700004577637,70,55,28001,11,46,5,2,33,0,2,66,31,67.870002746582,32.2999992370605,29,65.8300018310547,31,1,0,0,0,0,2,68.5998306274414,30.0283336639404,60,68.7249984741211,27.5499992370605,58,0,NA,NA,46,28001,46
"362",362,21211,22,12,10,6,2,2,1,8,1,1,45,58,20,14.289999961853,66,21,28001,12,56,5,1,22,0,1,22,21,66.4300003051758,14.3000001907349,20,58.2000007629395,45,1,0,0,0,0,1,66.4300003051758,14.3000001907349,21,58.2000007629395,45,20,0,NA,NA,56,28001,56
"363",363,21212,56,29,27,12,2,2,1,6,2,2,30.1900005340576,70,53,26.4200000762939,67,53,28001,12,44,5,1,28,0,2,56,25,66.4000015258789,32,25,74.5999984741211,24,1,0,0,0,0,2,67.2083053588867,26.3999996185303,53,69.7184906005859,30.181131362915,53,0,NA,NA,44,28001,44
"364",364,21212,56,29,27,12,2,2,1,6,2,2,30.1900005340576,70,53,26.4200000762939,67,53,28001,12,44,5,2,28,0,2,56,28,67.9300003051758,21.3999996185303,28,65.3600006103516,35.7000007629395,1,0,0,0,0,2,67.2083053588867,26.3999996185303,53,69.7184906005859,30.181131362915,53,0,NA,NA,44,28001,44
"365",365,21213,22,15,7,6,1,1,1,0,1,1,28.5699996948242,81,21,19.0499992370605,72,21,5793,11,0,5,1,22,0,1,22,21,72.3300018310547,19,21,80.9000015258789,28.6000003814697,1,0,0,0,0,1,72.3300018310547,19,21,80.9000015258789,28.6000003814697,21,0,NA,NA,0,5793,0
"366",366,21214,34,17,17,10,1,1,1,1,1,1,21.8799991607666,80,32,17.6499996185303,71,34,265,11,4,5,1,34,0,1,34,34,71,17.6499996185303,32,80,21.8799991607666,NA,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,4,265,4
"367",367,21215,41,20,21,12,1,1,1,1,2,2,13.1599998474121,83,38,15.789999961853,71,38,3905,11,3,5,1,21,0,2,41,21,70.6699981689453,14.3000001907349,21,82.0500030517578,9.5,1,0,0,0,0,2,71.2649993896484,15.7763156890869,38,83.3697357177734,13.1236839294434,38,0,NA,NA,3,3905,3
"368",368,21215,41,20,21,12,1,1,1,1,2,2,13.1599998474121,83,38,15.789999961853,71,38,3905,11,3,5,2,20,0,2,41,17,72,17.6000003814697,17,85,17.6000003814697,1,0,0,0,0,2,71.2649993896484,15.7763156890869,38,83.3697357177734,13.1236839294434,38,0,NA,NA,3,3905,3
"369",369,21221,52,27,25,12,1,1,1,1,2,2,19.2299995422363,76,52,17.3099994659424,72,52,1222,11,6,5,1,25,0,2,52,30,67.3300018310547,26.7000007629395,30,73.4700012207031,26.7000007629395,1,0,0,0,0,2,70.8144454956055,20.3888893127441,54,75.7411117553711,22.2555561065674,54,0,NA,NA,6,1222,6
"370",370,21221,52,27,25,12,1,1,1,1,2,2,19.2299995422363,76,52,17.3099994659424,72,52,1222,11,6,5,2,27,0,2,52,24,75.1699981689453,12.5,24,78.5800018310547,16.7000007629395,1,0,0,0,0,2,70.8144454956055,20.3888893127441,54,75.7411117553711,22.2555561065674,54,0,NA,NA,6,1222,6
"371",371,21227,109,59,50,19,2,1,1,NA,4,3,21.4300003051758,78,84,50.5900001525879,57,85,3046,12,4,5,2,32,0,3,94,31,60.5200004577637,48.4000015258789,31,81.2900009155273,9.69999980926514,1,0,0,1,0,3,55.5298233032227,52.6421051025391,57,76.8928070068359,21.0578956604004,57,0,NA,NA,4,3046,4
"372",372,21227,109,59,50,19,2,1,1,NA,4,3,21.4300003051758,78,84,50.5900001525879,57,85,3046,12,4,5,3,31,0,3,94,26,49.5800018310547,57.7000007629395,26,71.6500015258789,34.5999984741211,1,0,0,1,0,3,55.5298233032227,52.6421051025391,57,76.8928070068359,21.0578956604004,57,0,NA,NA,4,3046,4
"373",373,21227,109,59,50,19,2,1,1,NA,4,3,21.4300003051758,78,84,50.5900001525879,57,85,3046,12,4,5,1,31,0,3,94,28,59.9928588867188,46.4124984741211,27,80.3374099731445,22.21555519104,NA,1,0,1,0,3,55.5298233032227,52.6421051025391,57,76.8928070068359,21.0578956604004,57,1,27,28,4,3046,4
"374",374,21229,12,6,6,6,2,1,1,1,1,1,27.2700004577637,77,11,58.3300018310547,50,12,1420,12,5,5,1,12,0,1,12,12,50.1699981689453,58.2999992370605,11,77.2699966430664,27.2999992370605,1,0,0,0,0,1,50.1699981689453,58.2999992370605,12,77.2699966430664,27.2999992370605,11,0,NA,NA,5,1420,5
"375",375,21235,25,11,14,7,1,2,1,5,1,1,45,63,20,75,44,24,8128,11,35,5,1,25,0,1,25,24,44,75,20,63,45,NA,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,35,8128,35
"376",376,21236,44,25,19,9,2,2,1,8,2,2,7.8899998664856,71,38,23.6800003051758,63,38,8128,12,35,5,1,24,0,2,44,21,63,19,21,75.7600021362305,0,1,0,0,0,0,2,62.9731597900391,23.6526317596436,38,70.6286849975586,7.87368440628052,38,0,NA,NA,35,8128,35
"377",377,21236,44,25,19,9,2,2,1,8,2,2,7.8899998664856,71,38,23.6800003051758,63,38,8128,12,35,5,2,20,0,2,44,17,62.939998626709,29.3999996185303,17,64.2900009155273,17.6000003814697,1,0,0,0,0,2,62.9731597900391,23.6526317596436,38,70.6286849975586,7.87368440628052,38,0,NA,NA,35,8128,35
"378",378,21241,43,22,21,11,1,1,1,1,2,2,27.5,78,40,20,69,40,1263,11,2,5,1,22,0,2,43,20,65.9000015258789,30,20,76.6500015258789,35,1,0,0,1,0,2,65.9000015258789,30,20,76.6500015258789,35,20,0,NA,NA,2,1263,2
"379",379,21241,43,22,21,11,1,1,1,1,2,2,27.5,78,40,20,69,40,1263,11,2,5,2,21,0,2,43,20,72.0999984741211,10,20,79.3499984741211,20,NA,1,0,1,0,2,65.9000015258789,30,20,76.6500015258789,35,20,1,20,20,2,1263,2
"380",380,21258,20,12,8,6,2,2,1,8,1,1,40,70,20,65,51,20,10611,12,63,5,1,20,0,1,20,20,51.0999984741211,65,20,69.75,40,1,0,0,0,0,1,51.0999984741211,65,20,69.75,40,20,0,NA,NA,63,10611,63
"381",381,21265,58,25,33,20,1,2,1,5,2,2,33.9300003051758,74,56,15.789999961853,66,57,28001,11,34,5,1,32,0,2,58,31,64.3499984741211,12.8999996185303,31,71.9000015258789,45.2000007629395,1,0,0,0,0,2,66.4345626831055,15.7736845016479,57,74.1232147216797,33.9500007629395,56,0,NA,NA,34,28001,34
"382",382,21265,58,25,33,20,1,2,1,5,2,2,33.9300003051758,74,56,15.789999961853,66,57,28001,11,34,5,2,26,0,2,58,26,68.9199981689453,19.2000007629395,25,76.879997253418,20,1,0,0,0,0,2,66.4345626831055,15.7736845016479,57,74.1232147216797,33.9500007629395,56,0,NA,NA,34,28001,34
"383",383,21268,99,56,43,23,2,2,1,6,3,3,47.2999992370605,64,74,41.8899993896484,56,74,80002,12,38,5,1,28,0,2,56,22,63.8199996948242,27.2999992370605,22,64.9499969482422,45.5,1,0,0,0,0,2,57.2050018310547,38.6500015258789,44,62.6800003051758,50,44,0,NA,NA,38,80002,38
"384",384,21268,99,56,43,23,2,2,1,6,3,3,47.2999992370605,64,74,41.8899993896484,56,74,80002,12,38,5,2,28,0,2,56,22,50.5900001525879,50,22,60.4099998474121,54.5,1,0,0,0,0,2,57.2050018310547,38.6500015258789,44,62.6800003051758,50,44,0,NA,NA,38,80002,38
"385",385,21273,34,18,16,10,1,1,1,5,2,1,41.6699981689453,65,24,45.8300018310547,56,24,77008,11,33,5,1,23,0,1,23,24,56,45.8300018310547,24,65,41.6699981689453,NA,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,33,77008,33
"386",386,21275,21,7,14,8,1,1,1,2,1,1,19.0499992370605,75,21,38.0999984741211,60,21,299,11,11,5,1,21,0,1,21,21,59.9000015258789,38.0999984741211,21,75.379997253418,19,1,0,0,0,0,1,59.9000015258789,38.0999984741211,21,75.379997253418,19,21,0,NA,NA,11,299,11
"387",387,21276,23,6,17,9,2,2,1,8,1,1,5.26000022888184,77,19,21.0499992370605,64,19,20347,12,59,5,1,23,0,1,23,23,58.4300003051758,34.7999992370605,23,72.5699996948242,17.3999996185303,1,0,0,0,0,1,58.4300003051758,34.7999992370605,23,72.5699996948242,17.3999996185303,23,0,NA,NA,59,20347,59
"388",388,21277,59,25,34,13,1,2,1,1,2,2,41.1800003051758,63,51,39.6599998474121,50,58,11395,11,11,5,2,29,0,2,59,30,53.5699996948242,33.2999992370605,26,67.5800018310547,34.5999984741211,1,0,0,1,0,2,53.5699996948242,33.2999992370605,30,67.5800018310547,34.5999984741211,26,0,NA,NA,11,11395,11
"389",389,21277,59,25,34,13,1,2,1,1,2,2,41.1800003051758,63,51,39.6599998474121,50,58,11395,11,11,5,1,30,0,2,59,28,46.1749992370605,46.4742851257324,25,58.2368011474609,48.0232009887695,NA,1,0,1,0,2,53.5699996948242,33.2999992370605,30,67.5800018310547,34.5999984741211,26,1,25,28,11,11395,11
"390",390,21279,50,24,26,12,2,2,1,6,2,2,37.25,70,51,35.2900009155273,67,51,92007,12,34,5,1,26,0,2,50,26,69.4199981689453,26.8999996185303,26,72.620002746582,34.5999984741211,1,0,0,0,0,2,66.8415679931641,35.2823524475098,51,70.178825378418,37.2470588684082,51,0,NA,NA,34,92007,34
"391",391,21279,50,24,26,12,2,2,1,6,2,2,37.25,70,51,35.2900009155273,67,51,92007,12,34,5,2,24,0,2,50,25,64.1600036621094,44,25,67.6399993896484,40,1,0,0,0,0,2,66.8415679931641,35.2823524475098,51,70.178825378418,37.2470588684082,51,0,NA,NA,34,92007,34
"392",392,21280,17,10,7,5,1,1,1,1,1,1,14.289999961853,77,7,14.289999961853,69,7,4523,11,7,5,1,17,0,1,17,7,69,14.289999961853,7,77,14.289999961853,NA,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,7,4523,7
"393",393,21281,48,27,21,12,2,2,1,6,2,2,20,81,25,4,79,25,10637,12,43,5,1,27,0,2,48,16,71.0599975585938,18.7999992370605,16,76.5,18.7999992370605,1,0,0,0,0,2,72.7903442382812,17.2758617401123,29,76.6210327148438,27.6310348510742,29,0,NA,NA,43,10637,43
"394",394,21281,48,27,21,12,2,2,1,6,2,2,20,81,25,4,79,25,10637,12,43,5,2,21,0,2,48,13,74.9199981689453,15.3999996185303,13,76.7699966430664,38.5,1,0,0,0,0,2,72.7903442382812,17.2758617401123,29,76.6210327148438,27.6310348510742,29,0,NA,NA,43,10637,43
"395",395,21282,65,36,29,15,1,2,1,4,3,2,31.3700008392334,72,51,30.9099998474121,63,55,76000,11,31,5,2,27,0,2,54,27,67.629997253418,25.8999996185303,25,72.0800018310547,24,1,0,0,1,0,2,67.629997253418,25.8999996185303,27,72.0800018310547,24,25,0,NA,NA,31,76000,31
"396",396,21282,65,36,29,15,1,2,1,4,3,2,31.3700008392334,72,51,30.9099998474121,63,55,76000,11,31,5,1,27,0,2,54,28,58.5353584289551,35.7410697937012,26,71.9230804443359,38.4565391540527,NA,1,0,1,0,2,67.629997253418,25.8999996185303,27,72.0800018310547,24,25,1,26,28,31,76000,31
"397",397,21285,24,9,15,9,1,2,1,7,1,1,61.9000015258789,63,21,38.0999984741211,56,21,28001,11,45,5,1,24,0,1,24,21,56.189998626709,38.0999984741211,21,63.0999984741211,61.9000015258789,1,0,0,0,0,1,56.189998626709,38.0999984741211,21,63.0999984741211,61.9000015258789,21,0,NA,NA,45,28001,45
"398",398,21293,50,24,26,13,1,2,1,4,2,2,23.0799999237061,75,52,26.9200000762939,68,52,5702,11,27,5,1,25,0,2,50,25,68.5999984741211,24,25,74.5599975585938,24,1,0,0,1,0,2,68.5999984741211,24,25,74.5599975585938,24,25,0,NA,NA,27,5702,27
"399",399,21293,50,24,26,13,1,2,1,4,2,2,23.0799999237061,75,52,26.9200000762939,68,52,5702,11,27,5,2,25,0,2,50,27,67.4444427490234,29.6237030029297,27,75.4074096679688,22.2281475067139,NA,1,0,1,0,2,68.5999984741211,24,25,74.5599975585938,24,25,1,27,27,27,5702,27
"400",400,21307,86,43,43,14,1,2,1,2,3,2,26.3199996948242,73,57,26.3199996948242,68,57,10611,11,10,5,1,40,0,2,80,27,67.629997253418,29.6000003814697,27,69.629997253418,29.6000003814697,1,0,0,0,0,2,68.0721054077148,26.2842102050781,57,72.6826324462891,26.2842102050781,57,0,NA,NA,10,10611,10
"401",401,21307,86,43,43,14,1,2,1,2,3,2,26.3199996948242,73,57,26.3199996948242,68,57,10611,11,10,5,2,40,0,2,80,30,68.4700012207031,23.2999992370605,30,75.4300003051758,23.2999992370605,1,0,0,0,0,2,68.0721054077148,26.2842102050781,57,72.6826324462891,26.2842102050781,57,0,NA,NA,10,10611,10
"402",402,21310,64,36,28,13,2,2,1,4,3,2,17.9500007629395,74,39,31.7099990844727,64,41,11395,12,44,5,2,26,0,2,52,22,72.7300033569336,22.7000007629395,20,79.1999969482422,25,1,0,0,1,0,2,72.7300033569336,22.7000007629395,22,79.1999969482422,25,20,0,NA,NA,44,11395,44
"403",403,21310,64,36,28,13,2,2,1,4,3,2,17.9500007629395,74,39,31.7099990844727,64,41,11395,12,44,5,1,26,0,2,52,19,53.8915786743164,42.1426315307617,19,68.5263137817383,10.5289478302002,NA,1,0,1,0,2,72.7300033569336,22.7000007629395,22,79.1999969482422,25,20,1,19,19,44,11395,44
"404",404,21312,70,26,44,20,1,2,1,1,2,2,19.6700000762939,76,61,39.060001373291,59,64,11395,11,10,5,1,36,0,2,70,33,64,33.2999992370605,33,76.2399978637695,24.2000007629395,1,0,0,0,0,2,59.0448455810547,39.0640640258789,64,76.4098358154297,19.6557369232178,61,0,NA,NA,10,11395,10
"405",405,21312,70,26,44,20,1,2,1,1,2,2,19.6700000762939,76,61,39.060001373291,59,64,11395,11,10,5,2,34,0,2,70,31,53.7700004577637,45.2000007629395,28,76.6100006103516,14.3000001907349,1,0,0,0,0,2,59.0448455810547,39.0640640258789,64,76.4098358154297,19.6557369232178,61,0,NA,NA,10,11395,10
