"","X","schlcode","c_size","c_boys","c_girls","c_numcl","c_pik","c_status","c_leom","c_tip","c_num5rd","c_type","flgrm5","mrkgrm5","ngrm5","flmth5","mrkmth5","nmth5","towncode","popcode","tip_a","grade","classid","classize","X_type_","X_freq_","cohsize","mathsize","avgmath","passmath","verbsize","avgverb","passverb","studchk","misskov2","missagg","nmiss_k","nmiss_a","classct","math_n","flmath_n","nmath_n","verb_n","flverb_n","nverb_n","impute","nverb_m","nmath_m","tip_s","townid","tipuach"
"107",107,11181,64,30,34,16,1,1,1,3,2,2,26.7900009155273,72,56,23.2099990844727,64,56,30007,11,8,5,1,32,0,2,64,28,68.3199996948242,21.3999996185303,28,71.9599990844727,28.6000003814697,1,0,0,0,0,2,63.9799995422363,23.2000007629395,56,72.375,26.7999992370605,56,0,NA,NA,8,30007,8
"108",108,11181,64,30,34,16,1,1,1,3,2,2,26.7900009155273,72,56,23.2099990844727,64,56,30007,11,8,5,2,32,0,2,64,28,59.6399993896484,25,28,72.7900009155273,25,1,0,0,0,0,2,63.9799995422363,23.2000007629395,56,72.375,26.7999992370605,56,0,NA,NA,8,30007,8
"109",109,11182,46,23,23,16,2,1,1,3,2,2,18.1800003051758,81,44,18.1800003051758,72,44,30007,12,9,5,1,23,0,2,46,23,69.3499984741211,21.7000007629395,23,79.3899993896484,26.1000003814697,1,0,0,1,0,2,69.3499984741211,21.7000007629395,23,79.3899993896484,26.1000003814697,23,0,NA,NA,9,30007,9
"110",110,11182,46,23,23,16,2,1,1,3,2,2,18.1800003051758,81,44,18.1800003051758,72,44,30007,12,9,5,2,23,0,2,46,21,74.9023818969727,14.3247623443604,21,82.7633361816406,9.50571441650391,NA,1,0,1,0,2,69.3499984741211,21.7000007629395,23,79.3899993896484,26.1000003814697,23,1,21,21,9,30007,9
"111",111,11183,79,40,39,13,1,1,1,1,2,2,20.2700004577637,77,74,16.2199993133545,66,74,30007,11,1,5,1,39,0,2,79,36,64.0599975585938,19.3999996185303,36,78.25,16.7000007629395,1,0,0,0,0,2,66.1910781860352,16.2162170410156,74,77.2845916748047,20.2945938110352,74,0,NA,NA,1,30007,1
"112",112,11183,79,40,39,13,1,1,1,1,2,2,20.2700004577637,77,74,16.2199993133545,66,74,30007,11,1,5,2,40,0,2,79,38,68.2099990844727,13.1999998092651,38,76.370002746582,23.7000007629395,1,0,0,0,0,2,66.1910781860352,16.2162170410156,74,77.2845916748047,20.2945938110352,74,0,NA,NA,1,30007,1
"113",113,11184,81,43,38,16,2,2,1,1,2,2,12.1599998474121,80,74,17.5699996948242,76,74,35741,12,5,5,1,41,0,2,81,35,74.7099990844727,14.3000001907349,35,78.8899993896484,11.3999996185303,1,0,0,0,0,2,75.7900009155273,16.9830188751221,53,80.2484893798828,7.52830171585083,53,0,NA,NA,5,35741,5
"114",114,11184,81,43,38,16,2,2,1,1,2,2,12.1599998474121,80,74,17.5699996948242,76,74,35741,12,5,5,2,40,0,2,81,18,77.8899993896484,22.2000007629395,18,82.8899993896484,0,1,0,0,0,0,2,75.7900009155273,16.9830188751221,53,80.2484893798828,7.52830171585083,53,0,NA,NA,5,35741,5
"115",115,11187,115,58,57,25,1,1,1,1,3,3,16,78,100,21,74,100,30007,11,4,5,1,37,0,3,116,36,67.8300018310547,38.9000015258789,36,74.8899993896484,13.8999996185303,1,0,0,0,0,3,74.3001022338867,20.6072158813477,97,78.1552581787109,15.4577322006226,97,0,NA,NA,4,30007,4
"116",116,11187,115,58,57,25,1,1,1,1,3,3,16,78,100,21,74,100,30007,11,4,5,2,39,0,3,116,35,73.6900024414062,17.1000003814697,35,79.1999969482422,20,1,0,0,0,0,3,74.3001022338867,20.6072158813477,97,78.1552581787109,15.4577322006226,97,0,NA,NA,4,30007,4
"117",117,11187,115,58,57,25,1,1,1,1,3,3,16,78,100,21,74,100,30007,11,4,5,3,40,0,3,116,26,84.0800018310547,0,26,81.2699966430664,11.5,1,0,0,0,0,3,74.3001022338867,20.6072158813477,97,78.1552581787109,15.4577322006226,97,0,NA,NA,4,30007,4
"118",118,11188,60,26,34,12,1,1,1,1,2,2,41.5099983215332,63,53,66.0400009155273,43,53,30007,11,12,5,2,25,0,2,55,24,47.3300018310547,58.2999992370605,24,70.6699981689453,33.2999992370605,1,0,0,1,0,2,47.3300018310547,58.2999992370605,24,70.6699981689453,33.2999992370605,24,0,NA,NA,12,30007,12
"119",119,11188,60,26,34,12,1,1,1,1,2,2,41.5099983215332,63,53,66.0400009155273,43,53,30007,11,12,5,1,30,0,2,55,29,39.4165534973145,72.4455184936523,29,56.6524124145508,48.3044815063477,NA,1,0,1,0,2,47.3300018310547,58.2999992370605,24,70.6699981689453,33.2999992370605,24,1,29,29,12,30007,12
"120",120,11189,32,0,32,10,2,1,1,3,1,1,25.8099994659424,77,31,9.38000011444092,81,32,30007,12,11,5,1,32,0,1,32,32,81.2200012207031,9.39999961853027,31,77.0999984741211,25.7999992370605,1,0,0,0,0,1,81.2200012207031,9.39999961853027,32,77.0999984741211,25.7999992370605,31,0,NA,NA,11,30007,11
"121",121,11190,81,42,39,17,1,1,1,1,3,3,29.3299999237061,73,75,24.0499992370605,68,79,30007,11,5,5,2,27,0,3,81,26,63.1500015258789,26.8999996185303,26,69.9599990844727,26.8999996185303,1,0,0,1,0,3,65.5149993896484,25,52,73.4016036987305,23.9720001220703,50,0,NA,NA,5,30007,5
"122",122,11190,81,42,39,17,1,1,1,1,3,3,29.3299999237061,73,75,24.0499992370605,68,79,30007,11,5,5,3,27,0,3,81,26,67.879997253418,23.1000003814697,24,77.129997253418,20.7999992370605,1,0,0,1,0,3,65.5149993896484,25,52,73.4016036987305,23.9720001220703,50,0,NA,NA,5,30007,5
"123",123,11190,81,42,39,17,1,1,1,1,3,3,29.3299999237061,73,75,24.0499992370605,68,79,30007,11,5,5,1,27,0,3,81,27,72.7859268188477,22.2203712463379,25,72.1968002319336,40.0460014343262,NA,1,0,1,0,3,65.5149993896484,25,52,73.4016036987305,23.9720001220703,50,1,25,27,5,30007,5
"124",124,11196,28,22,6,6,2,2,1,1,1,1,25.9300003051758,81,27,7.40999984741211,73,27,35733,12,0,5,1,28,0,1,28,27,73.2200012207031,7.40000009536743,27,81.2600021362305,25.8999996185303,1,0,0,0,0,1,73.2200012207031,7.40000009536743,27,81.2600021362305,25.8999996185303,27,0,NA,NA,0,35733,0
"125",125,11201,99,50,49,18,1,1,1,1,3,3,15.1199998855591,79,86,8.89000034332275,70,90,30007,11,3,5,1,35,0,3,99,32,67.379997253418,12.5,29,78.2399978637695,10.3000001907349,1,0,0,0,0,3,70.1042251586914,8.8866662979126,90,78.9502334594727,15.109302520752,86,0,NA,NA,3,30007,3
"126",126,11201,99,50,49,18,1,1,1,1,3,3,15.1199998855591,79,86,8.89000034332275,70,90,30007,11,3,5,2,30,0,3,99,28,72.2900009155273,7.09999990463257,28,80.9599990844727,14.3000001907349,1,0,0,0,0,3,70.1042251586914,8.8866662979126,90,78.9502334594727,15.109302520752,86,0,NA,NA,3,30007,3
